date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:25:48	110913/110913	---M--	200	added ('OK')	image/png	etag:%221b141-541e172b520aa%22	http://le-mugs.com/wp-content/themes/mugs/images/huile.png	E:/Mis_Sitios_Webs/Le-Mugs/le-mugs.com/wp-content/themes/mugs/images/huile.png	(from http://le-mugs.com/)
00:25:53	608351/608351	---M--	200	added ('OK')	image/jpeg	etag:%229485f-541e1726375eb%22	http://le-mugs.com/wp-content/themes/mugs/images/cerf.jpg	E:/Mis_Sitios_Webs/Le-Mugs/le-mugs.com/wp-content/themes/mugs/images/cerf.jpg	(from http://le-mugs.com/)
00:26:19	191797/191797	---M--	200	added ('OK')	image/png	etag:%222ed35-541e17315ecff%22	http://le-mugs.com/wp-content/themes/mugs/images/tomates-cerise.png	E:/Mis_Sitios_Webs/Le-Mugs/le-mugs.com/wp-content/themes/mugs/images/tomates-cerise.png	(from http://le-mugs.com/)
00:26:41	128064/128064	---M--	200	added ('OK')	image/png	etag:%221f440-541e172c75942%22	http://le-mugs.com/wp-content/themes/mugs/images/moutarde.png	E:/Mis_Sitios_Webs/Le-Mugs/le-mugs.com/wp-content/themes/mugs/images/moutarde.png	(from http://le-mugs.com/)
00:26:45	421715/421715	---M--	200	added ('OK')	image/png	etag:%2266f53-541e172ed2104%22	http://le-mugs.com/wp-content/themes/mugs/images/salade-lentilles.png	E:/Mis_Sitios_Webs/Le-Mugs/le-mugs.com/wp-content/themes/mugs/images/salade-lentilles.png	(from http://le-mugs.com/)
00:27:24	236997/236997	---M--	200	added ('OK')	image/png	etag:%2239dc5-541e172d6c59e%22	http://le-mugs.com/wp-content/themes/mugs/images/panier-frites.png	E:/Mis_Sitios_Webs/Le-Mugs/le-mugs.com/wp-content/themes/mugs/images/panier-frites.png	(from http://le-mugs.com/)
00:27:25	571230/571230	---M--	200	added ('OK')	image/png	etag:%228b75e-541e172e83a31%22	http://le-mugs.com/wp-content/themes/mugs/images/planche-charcuteries.png	E:/Mis_Sitios_Webs/Le-Mugs/le-mugs.com/wp-content/themes/mugs/images/planche-charcuteries.png	(from http://le-mugs.com/)
00:27:34	63077/63077	---M--	200	added ('OK')	image/png	etag:%22f665-541e172f070bf%22	http://le-mugs.com/wp-content/themes/mugs/images/sauce-soja.png	E:/Mis_Sitios_Webs/Le-Mugs/le-mugs.com/wp-content/themes/mugs/images/sauce-soja.png	(from http://le-mugs.com/)
00:27:40	86319/86319	---M--	200	added ('OK')	image/png	etag:%221512f-541e1731d0d35%22	http://le-mugs.com/wp-content/themes/mugs/images/wasabi.png	E:/Mis_Sitios_Webs/Le-Mugs/le-mugs.com/wp-content/themes/mugs/images/wasabi.png	(from http://le-mugs.com/)
00:27:48	963908/963908	---M--	200	added ('OK')	image/jpeg	etag:%22eb544-541e175fd71b0%22	http://le-mugs.com/wp-content/uploads/2015/07/DSC_0220-Modifier-1920x696.jpg	E:/Mis_Sitios_Webs/Le-Mugs/le-mugs.com/wp-content/uploads/2015/07/DSC_0220-Modifier-1920x696.jpg	(from http://le-mugs.com/)
